Harringay Green Lanes	51.5772819519	-0.0978792
Harrow & Wealdstone	51.5924053192	-0.3349382
Harrow-on-the-Hill	51.5793228149	-0.3372288
Hatch End	51.6098365784	-0.3689432
Hatton Cross	51.4665985107	-0.4233599
Headstone Lane	51.6027030945	-0.3566372
Heathrow Terminal 4	51.4590072632	-0.4456007
Heathrow Terminal 5	51.4708099365	-0.4761457
Heathrow Terminals 1, 2 & 3	51.4712257385	-0.4528964
Hendon Central	51.5831909180	-0.2263463
Heron Quays	51.5030899048	-0.0214255
High Barnet	51.6508178711	-0.1945889
High Street Ken	51.5006696209	-0.1918155
Highbury & Isling	51.5467758179	-0.1032114
Highbury & Islington	51.5461730957	-0.1035333
Highgate	51.5776290894	-0.1458478
Hillingdon	51.5537755198	-0.4498980
Holborn	51.5177001953	-0.1202167
Holland Park	51.5073776245	-0.2058649
Holloway Road	51.5528146590	-0.1129357
Homerton	51.5471076965	-0.0424862
Honor Oak Park	51.4499816895	-0.0453830
Hornchurch	51.5540885925	0.2190614
Hounslow Central	51.4713172913	-0.3667331
Hounslow East	51.4732818604	-0.3562939
Hounslow West	51.4735107422	-0.3859591
Hoxton	51.5317077637	-0.0755847
Hyde Park Corner	51.5023075536	-0.1544304
Ickenham	51.5615343030	-0.4412603
Imperial Wharf	51.4752044678	-0.1832807
Island Garden	51.4879684448	-0.0104392
Kennington	51.4882354736	-0.1058507
Kensal Green	51.5305601354	-0.2246447
Kensal Rise	51.5346717834	-0.2197802
Kensington Olympia	51.4976603190	-0.2098560
Kentish Town	51.5505218506	-0.1404941
Kentish Town West	51.5470581055	-0.1467276
Kenton	51.5818824768	-0.3169942
Kew Gardens	51.4770774841	-0.2849686
Kilburn	51.5470924377	-0.2041054
Kilburn High Road	51.5374298096	-0.1919603
Kilburn Park	51.5350036621	-0.1940095
King George V	51.5019683838	0.0626135
Kings Cross St. Pan	51.5302995046	-0.1241684
Kingsbury	51.5846939087	-0.2787459
Knightsbridge	51.5016212463	-0.1606214
Ladbroke Grove	51.5173416138	-0.2110791
Lambeth North	51.4988708496	-0.1122665
Lancaster Gate	51.5118893913	-0.1754299
Langdon Park	51.5150566101	-0.0140870
Latimer Road	51.5135211945	-0.2178866
Leicester Square	51.5112897071	-0.1282421
Lewisham	51.4653549194	-0.0133467
Leystone High Road	51.5634613037	0.0087333
Leyton	51.5566215515	-0.0053859
Leyton Midland Road	51.5695190430	-0.0072312
Leytonstone	51.5686779022	0.0082720
Limehouse	51.5127334595	-0.0402761
Liverpool Street	51.5176753166	-0.0819796
London Bridge	51.5048675537	-0.0864154
London City Airport	51.5036773682	0.0481081
Loughton	51.6414451599	0.0555968
Maida Vale	51.5299453735	-0.1860487
Manor House	51.5708274841	-0.0962806
Mansion House	51.5122852325	-0.0940329
Marble Arch	51.5135459900	-0.1584542
Marylebone	51.5227088928	-0.1628208
Mile End	51.5255343119	-0.0334883
Mill Hill East	51.6083297729	-0.2104676
Monument	51.5108699799	-0.0863725
Moor Park	51.6298828125	-0.4320502
Moorgate	51.5185162053	-0.0884378
Morden	51.4026184082	-0.1948893
Mornington Crsct	51.5343607284	-0.1387443
Mudchute	51.4909362793	-0.0149345
Neasden	51.5541534424	-0.2498853
New Cross	51.4764099121	-0.0325942
New Cross Gate	51.4749946594	-0.0403619
Newbury Park	51.5752143860	0.0896931
North Acton	51.5234012604	-0.2592516
North Ealing	51.5176205517	-0.2889935
North Greenwich	51.5002962316	0.0032135
North Harrow	51.5847473145	-0.3626776
North Wembley	51.5624790192	-0.3037012
Northfields	51.4994049072	-0.3142476
Northolt	51.5481224060	-0.3687072
Northwick Park	51.5785751343	-0.3179705
Northwood	51.6108207703	-0.4240465
Northwood Hills	51.6004142761	-0.4089081
Norwood Junction	51.3971023560	-0.0746620
Notting Hill Gate	51.5090954510	-0.1959735
Oakwood	51.6476364968	-0.1318535
Old Street	51.5256689900	-0.0875616
Osterley	51.4813270569	-0.3514123
Oval	51.4819297791	-0.1124811
Oxford Circus	51.5152943929	-0.1418638
Paddington	51.5159644731	-0.1761345
Park Royal	51.5268322909	-0.2849289
Parsons Green	51.4753570557	-0.2011871
Penge West	51.4173240662	-0.0610149
Perivale	51.5367355347	-0.3238714
Piccadilly Circus	51.5100173950	-0.1340997
Pimlico	51.4891052246	-0.1335204
Pinner	51.5929870605	-0.3807127
Plaistow	51.5313562891	0.0177309
Pontoon Dock	51.5024375916	0.0328302
Poplar	51.5076751709	-0.0166726
Preston Road	51.5723075867	-0.2958691
Prince Regent	51.5093841553	0.0335598
Pudding Mill Lane	51.5341491699	-0.0139046
Putney Bridge	51.4683647156	-0.2088046
Queen's Park	51.5339317322	-0.2044165
Queens Park	51.5340270996	-0.2049851
Queensbury	51.5939178467	-0.2853549
Queensway	51.5104476613	-0.1874199
Ravenscourt Park	51.4941291809	-0.2359378
Rayners Lane	51.5751222335	-0.3708541
Redbridge	51.5762290955	0.0454473
Regents Park	51.5236320496	-0.1462984
Richmond	51.4629650116	-0.3020811
Rickmansworth	51.6403209905	-0.4736846
Roding Valley	51.6172676086	0.0440741
Rotherhithe	51.5007934570	-0.0519598
Royal Albert	51.5084991455	0.0463057
Royal Oak	51.5191917419	-0.1887095
Royal Victoria	51.5092773438	0.0180674
Ruislip	51.5715061828	-0.4214307
Ruislip Gardens	51.5609397888	-0.4108071
Ruislip Manor	51.5734496416	-0.4128493
Russell Square	51.5231246948	-0.1243794
Seven Sisters	51.5818443298	-0.0754666
Shadwell	51.5112139384	-0.0570202
Shepherd's Bush	51.5053482056	-0.2176774
Shepherd's Bush Market	51.5057888031	-0.2263677
Shepherds Bush	51.5050010681	-0.2183318
Shoreditch High Street	51.5232162476	-0.0755525
Sloane Square	51.4922370911	-0.1562173
Snaresbrook	51.5809937133	0.0213566
South Acton	51.4992866516	-0.2706671
South Ealing	51.5010604858	-0.3070700
South Hampstead	51.5412368774	-0.1784420
South Harrow	51.5646635199	-0.3527602
South Kensington	51.4941112196	-0.1739452
South Kenton	51.5702533722	-0.3083951
South Quay	51.5000343323	-0.0162113
South Ruislip	51.5571670532	-0.3992951
South Tottenham	51.5803985596	-0.0720978
South Wimbledon	51.4153442383	-0.1921535
South Woodford	51.5920276642	0.0273586
Southfields	51.4453659058	-0.2064872
Southgate	51.6323743893	-0.1277700
Southwark	51.5038032532	-0.1049387
St. James's Park	51.4996719360	-0.1329517
St. Johns Wood	51.5348014832	-0.1743114
St. Pauls	51.5148162842	-0.0970638
Stamford Brook	51.4949989319	-0.2457654
Stanmore	51.6196716965	-0.3030993
Star Lane	51.5206794739	0.0042701
Stepney Green	51.5218811035	-0.0469065
Stockwell	51.4722061157	-0.1225126
Stonebridge Park	51.5434303284	-0.2752858
Stratford	51.5406700134	-0.0040941
